Star Name,Distance (pc),Image URL,Spectral Class,Center Pixel,L/L_o,Average Color
Alniyat,213.67521367521368,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alniyat&format=jpg,"('B', '1', 'III')",255,32015.43371869148,"[0.2985356117555795, 0.28193008526558117, 0.26661921606984723]"
Alphard,55.279159756771705,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alphard&format=jpg,"('K', '3', 'III')",232,79.00000000000003,"[0.48355806573321214, 0.3590426856963885, 0.23536761127340955]"
Alpherg,114.501631648251,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alpherg&format=jpg,"('G', '7', 'III')",255,40.426122002654566,"[0.35258379278006685, 0.35199763135481027, 0.35616232523741886]"
Alrakis,27.434842249657063,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alrakis&format=jpg,"('F', '6', 'V')",255,2.2729090902573703,"[0.24125026965041954, 0.32418062766507877, 0.4028653499616407]"
Alruba,142.3122900893721,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alruba&format=jpg,"('A', '2', 'V')",255,23.60000000000004,"[0.22192933108307214, 0.2364050659241435, 0.2513825396750358]"
Alsafi,5.7638914105913805,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alsafi&format=jpg,"('K', '0', 'V')",255,0.5520000000000003,"[0.2832260964087127, 0.2707569296375267, 0.2567438019984113]"
Alsciaukat,117.2332942555686,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alsciaukat&format=jpg,"('K', '4', 'III')",255,93.00000000000004,"[0.39285613336528596, 0.29937360591369105, 0.18407678458409374]"
Altair,5.12952038984355,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Altair&format=jpg,"('A', '7', 'V')",255,8.149286787824618,"[0.3936066087313074, 0.43227197360865893, 0.47411729580509865]"
Altais,29.98509740658893,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Altais&format=jpg,"('G', '9', 'III')",255,48.60557540706745,"[0.4149777315055816, 0.36164729018451036, 0.29745821042281223]"
Alterf,114.21392267717437,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alterf&format=jpg,"('K', '4.5', 'III')",255,101.09960937500004,"[0.350583878370916, 0.32694469916120783, 0.29191216577923906]"
