,Star Name,Distance (pc),Spectral Class,Index,Luminosity Class
204,Izar,62.11180124223603,A0,204,
205,Jabbah,145.34883720930233,B2V,205,V
206,Jishui,51.722889447496094,F5-6IV,206,IV
207,Kaffaljidhma,24.4081034903588,A2Vn+F4V,207,V
208,Kalausi,40.85067444463508,K0/1V+G(III),208,V
209,Kamuy,135.37845045825603,K0III,209,III
210,Kang,86.2976578815651,K2.5IIIFe-0.5,210,III
211,Karaka,40.62398440038999,K2IV,211,IV
212,Kaus Australis,43.93673110720562,B9IVp_lB?,212,IV
213,Kaus Borealis,23.969319271332694,K1IIIb,213,III
214,Kaus Media,127.440485293368,K2.5IIIaCN0.5,214,III
215,Kaveh,130.7702366941284,G6/8IV,215,IV
216,Keid,5.009819245721614,K0V,216,V
217,Khambalia,54.2752624208938,A1V,217,V
218,Kitalpha,58.14460563421229,G6IV+B9.5V,218,IV
219,Kochab,40.14452027298274,K4-III,219,III
220,Koeia,23.42309845430973,K5V,220,V
221,Koit,264.46630699248914,F5,221,
222,Kornephoros,42.66211604095562,G7IIIaFe-0.5,222,III
223,Kraz,45.444423741984735,G5IIBa0.3,223,II
224,Kurhah,29.59455460195324,Am+F7/8V,224,V
225,La Superba,310.3469679101235,C-N5,225,
226,Larawag,19.535065442469232,K1III,226,III
227,Lesath,176.67844522968198,B2IV,227,IV
228,Libertas,57.08316446230513,G9.5IIIb,228,III
229,Liesma,92.04458639765102,G0V,229,V
230,Lilii Borea,52.52376700456957,K0.5IIIb,230,III
231,Lionrock,111.54738532928788,G8IV,231,IV
232,Lucilinburhuc,46.96820252688929,G5,232,
233,Lusitania,34.90681625400992,K5,233,
234,Maasym,120.56472517270898,K3.5III,234,III
235,Macondo,28.485483797456816,K2IV-V,235,IV
236,Mago,121.66634222308738,K1III,236,III
237,Mahasim,50.76142131979696,A0VpSi,237,V
238,Mahsati,164.4736842105263,K0,238,
239,Maia,117.50881316098707,B8III,239,III
